source_id,source,kind,role,owner_agent,leased_skill,waves,mission_use,installed_in_cnc_runtime,lease_status,runtime_install
UP-01,Panniantong/Agent-Reach,UPSTREAM_METHOD,retrieval routing,Evidence Retrieval Planner,retrieval-routing,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Route handoff, Wiki, code and evidence retrieval; do not treat memory as proof.",NO,CLOSED,NO
UP-02,HKUDS/RAG-Anything,UPSTREAM_METHOD,multimodal RAG,Multimodal Clause Agent,multimodal-relation-preservation,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Preserve compound clause relationships so a feature token cannot hide an unbound qualifier.,NO,CLOSED,NO
UP-03,yoanbernabeu/grepai,UPSTREAM_METHOD,semantic code search,Guard Census Agent,semantic-code-trace,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Trace semantic-accounting, tool scalar and guard call sites before patch.",NO,CLOSED,NO
UP-04,DeusData/codebase-memory-mcp,UPSTREAM_METHOD,codebase graph memory,Guard Census Agent,codebase-graph,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Map tool/job ownership and caller graph across parser, orchestrator and validators.",NO,CLOSED,NO
UP-05,qhjqhj00/MemoRAG,UPSTREAM_METHOD,memory-assisted query rewrite,Failure Memory Retriever,memory-clue-rewrite,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Use prior Mission 24/production clues to target retrieval, then re-ground to current source.",NO,CLOSED,NO
UP-06,github/spec-kit,UPSTREAM_METHOD,spec-driven development,Contract Normalizer,spec-first,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Normalize HC A/A/B/B into clause-fidelity and scalar-conflict contracts.,NO,CLOSED,NO
UP-07,obra/superpowers,UPSTREAM_METHOD,TDD/debug/verification,Regression Implementer,systematic-debug-tdd,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Run independent RED reproduction, minimal GREEN patch and regression verification.",NO,CLOSED,NO
UP-08,HaydenLundin/ultrathink,UPSTREAM_METHOD,assumption challenge,Ontology Breaker,assumption-inversion,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Invert the claim “BOUND means understood” and generate counterexamples.,NO,CLOSED,NO
UP-09,open-gsd/gsd-core,UPSTREAM_METHOD,phase execution,Executive Orchestrator,phase-artifacts,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Keep phase artifacts and terminal evidence separate across Mission 25.,NO,CLOSED,NO
UP-10,multica-ai/andrej-karpathy-skills,UPSTREAM_METHOD,surgical implementation,Source-Owner Implementer,surgical-coding,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Apply surgical source-owner changes only after RED evidence.,NO,CLOSED,NO
UP-11,mattpocock/skills,UPSTREAM_METHOD,small composable tasks,Task Decomposer,bounded-task-design,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Decompose T00a–T12 with explicit dependencies and owners.,NO,CLOSED,NO
UP-12,NousResearch/hermes-agent,UPSTREAM_METHOD,failure learning,Controlled Learning Agent,failure-to-rule,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Turn F-M18/F-M20/tool-diameter conflict into reviewed learning candidates only.,NO,CLOSED,NO
UP-13,ruvnet/ruflo,UPSTREAM_METHOD,multi-agent orchestration,Executive Orchestrator,multi-agent-routing,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Route independent reproducer, implementer, mutation and review roles.",NO,CLOSED,NO
UP-14,twilio/twilio-taskrouter.js,UPSTREAM_METHOD,task lifecycle,Lifecycle Gate Agent,task-lifecycle,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Preserve task lifecycle and distinguish accepted work from completed evidence.,NO,CLOSED,NO
UP-15,arunv3rma/MeMo,UPSTREAM_METHOD,executive-memory split,Evidence Retrieval Planner,executive-memory-protocol,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Separate executive synthesis from memory retrieval and candidate claims.,NO,CLOSED,NO
